symbol,r_30d,beta_30d,r_90d,beta_90d,r_180d,beta_180d,r_squared,p_value,category,stability_flag,stability_detail,cat_30d,cat_90d,cat_180d
DEMO_A1,0.9764783037410657,3.2272660167844203,0.9760959110854286,3.39817148056853,0.9744670265172037,3.4683289332410774,0.9495859857692803,2.062000841635639e-117,A_levered_btc,False,30d:A_levered_btc 90d:A_levered_btc 180d:A_levered_btc -> stable,A_levered_btc,A_levered_btc,A_levered_btc
DEMO_A2,0.9815389077611253,4.196652314249896,0.9807920674461531,4.197689725437825,0.9774581347673215,4.120650368788483,0.9554244052228109,3.5938131808478933e-122,A_levered_btc,False,30d:A_levered_btc 90d:A_levered_btc 180d:A_levered_btc -> stable,A_levered_btc,A_levered_btc,A_levered_btc
DEMO_A3,0.9805810939265989,3.102427781265036,0.9791049280582607,3.0819997302111375,0.9781196890073895,3.0242033479852113,0.9567181260239125,2.611307473726705e-123,A_levered_btc,False,30d:A_levered_btc 90d:A_levered_btc 180d:A_levered_btc -> stable,A_levered_btc,A_levered_btc,A_levered_btc
DEMO_LOWVOL,0.5352097923788488,0.7229918390968519,0.6691307156056107,0.9440099127500352,0.657933528887313,0.9197091223977324,0.4328765284341125,1.0768129775849718e-23,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_N1,0.8077263395449463,1.266628250082759,0.8161213747311056,1.422300658214161,0.8105529794406753,1.4334085097657587,0.6569961324801556,3.2188478239875884e-43,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_N2,0.6908628750672794,0.953076924759569,0.5533087517087784,0.8382647652534126,0.5274578925042172,0.7913080640098937,0.27821182836499025,2.7947947495756364e-14,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_N3,0.9871330220312815,6.108575216404132,0.9891785134268893,6.174382384863794,0.9872576003617042,6.227269643812824,0.9746775694719501,4.938630254736531e-144,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_NEG,-0.930264030580419,-2.435309303084292,-0.8762600300684618,-1.9762818646578042,-0.8713008347006003,-1.984633145177178,0.7591651445499624,6.43000416667409e-57,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_SPIKE,0.6743747913660076,0.7749614323124124,0.7168541268947254,0.8934561399378219,0.24431375222410834,1.0115524805948257,0.05968920952582324,0.0009490549878504687,neutral,False,30d:neutral 90d:neutral 180d:neutral -> stable,neutral,neutral,neutral
DEMO_B1,-0.2752907667549887,-0.6049786745952945,-0.1814471913278791,-0.3714909091428671,-0.10743796141723284,-0.23479892662261043,0.011542915553490851,0.1511310018511728,B_uncorrelated,True,30d:neutral 90d:B_uncorrelated 180d:B_uncorrelated -> unstable,neutral,B_uncorrelated,B_uncorrelated
DEMO_B2,-0.05685060017911878,-0.10935674265578994,0.04512315573549949,0.08950616289746242,0.03588647761613881,0.06823881556574762,0.0012878392756937584,0.6324598491029999,B_uncorrelated,False,30d:B_uncorrelated 90d:B_uncorrelated 180d:B_uncorrelated -> stable,B_uncorrelated,B_uncorrelated,B_uncorrelated
DEMO_B3,0.011118023618667077,0.018727678942711795,-0.02108894286351204,-0.03228500196156982,-0.1157001293206842,-0.18235148092644415,0.013386519924822982,0.12194412509103485,B_uncorrelated,False,30d:B_uncorrelated 90d:B_uncorrelated 180d:B_uncorrelated -> stable,B_uncorrelated,B_uncorrelated,B_uncorrelated
